Time: 20:33:23:664; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:34:19:633; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:34:21:500; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:34:41:522; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:17:80; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:23:102; Method: GET; URl: /log; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:36:714; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:37:711; Method: GET; URl: /log; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:38:979; Method: GET; URl: /log; Cookies: keys: Webstorm-6bd6bd74, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:37:40:10; Method: GET; URl: /log; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:38:52:233; Method: GET; URl: /8; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
Time: 20:38:59:517; Method: GET; URl: /; Cookies: keys: Webstorm-6bd6bd74 isAdmin, values: 8cad0628-0259-4db3-941e-f8f4c757fe05 true ; Hostname: localhost; StatusCode: 200; User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0; 
